track_name,artist,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,explicit,track_genre,streams
Song_0,Artist_0,51,0.5868411180208791,0.26311256991084286,-37.811204640769404,0.827553052274047,0.4754757152327337,0.20588198817832115,0.32061990655022676,0.07324560410739012,91.8889678264922,179277,0,electronic,9718137
Song_1,Artist_1,92,0.74543947418433,0.3601364074715191,-56.85869878875165,0.17070836331248018,0.8490980199586761,0.35248104694335114,0.17833151242821632,0.8123173327141189,141.74015742312216,90383,1,jazz,5165621
Song_2,Artist_2,14,0.4316595462296794,0.08764274676383854,-13.945942288924904,0.030463686308960125,0.38339714105825895,0.126110141678625,0.23936983634204634,0.7524092332120093,112.004867506826,202857,0,jazz,6759677
Song_3,Artist_3,71,0.12758030279556376,0.9369578230310628,-35.00973408576726,0.20444837246427305,0.16827858850771282,0.12985701341788103,0.4179685080138871,0.7533129318792571,122.84764116299061,100910,0,jazz,7219708
Song_4,Artist_4,60,0.28377590579872447,0.5538022407123763,-10.669206791014602,0.34041155611425966,0.8364421924698697,0.6761957463565392,0.2511920046044672,0.716325343476028,135.20370502456404,230100,0,pop,6247896
Song_5,Artist_5,20,0.3630822963986351,0.30552431065802355,-8.979119932806277,0.5105807574595599,0.5489096316400717,0.8586001069824982,0.32056758601649904,0.6693854236698692,88.49497314745268,215927,0,jazz,7233874
Song_6,Artist_6,82,0.6459172413316012,0.3969815170742834,-47.28035671808051,0.6151291405411998,0.1891957923903549,0.962732583861139,0.1349784860716421,0.476991915378175,81.80522720117418,84281,0,rock,1944419
Song_7,Artist_7,86,0.5707783046689119,0.44720254050483565,-20.558791069792285,0.9106057172144217,0.7203839985864458,0.6283471175494444,0.2961767655589985,0.642278163507115,183.25906640230465,173838,0,jazz,4608011
Song_8,Artist_8,74,0.35609672589784624,0.6005943333606173,-31.6630917502211,0.5098540095504577,0.5111136384895005,0.18410132336095697,0.5722838145420012,0.03836155478797465,120.72131839639894,64841,0,rock,3327254
Song_9,Artist_9,74,0.9865152487929797,0.5156794276964978,-7.190595724710896,0.5012756446257294,0.6043129822403198,0.1056503454489307,0.44185370809106395,0.6214644226567846,117.69310534855549,157204,1,hip-hop,2430365
Song_10,Artist_10,87,0.6057748193568872,0.9193919732144173,-47.05555924941275,0.05024300982298213,0.4608983382065819,0.8128509715367578,0.34671876123591117,0.7778777055368772,64.9857010381978,120155,0,pop,2973703
Song_11,Artist_11,99,0.23722679173599448,0.49696348290583026,-19.33120798139735,0.03491155265622381,0.8287089838180064,0.5787564763599993,0.746452128857114,0.5003583603843902,129.71668236223505,217990,0,pop,2388117
Song_12,Artist_12,23,0.10178247262040374,0.9921580148233127,-23.534872664836648,0.5511599619163721,0.8295627156830498,0.6182850210137198,0.8935099713933179,0.35751332842723693,137.58376102554,116313,0,electronic,1021576
Song_13,Artist_13,2,0.15285913918433203,0.8514249577450957,-42.281911345690034,0.4381786132483445,0.7093888218243862,0.7814620887547092,0.756789222902397,0.2774267348009791,138.2377219336533,171688,1,hip-hop,686305
Song_14,Artist_14,21,0.24595772838450813,0.2085105143573358,-51.803945780929645,0.8391803949802986,0.10540137739646227,0.7032772277324516,0.3320007021176792,0.6428020501620825,158.9843637052038,208515,1,rock,457982
Song_15,Artist_15,52,0.16068137325955567,0.9305952146439163,-20.901614371363408,0.16067958471184518,0.8388538619040689,0.8344582528560966,0.7444421678375537,0.6928011986299087,84.84745689874165,223322,0,hip-hop,2498537
Song_16,Artist_16,1,0.18656702405130576,0.11636639788547609,-15.684152512060159,0.024971662117049598,0.6710129805329098,0.05621390545987848,0.1519801824740512,0.8709675998625426,95.31123879228664,192994,1,pop,6201513
Song_17,Artist_17,87,0.2850951686938471,0.8174497084911916,-41.062359374199005,0.44903876793012587,0.6970241660042995,0.7475206367465048,0.13031798809129091,0.34233408246099073,173.50226513225778,91976,1,rock,8917726
Song_18,Artist_18,29,0.17337359529475482,0.3806232934765801,-21.310043758661173,0.23747855675225749,0.36298284040387163,0.8508527573220954,0.34562703703615894,0.7697723073855856,192.60388635807516,203063,0,hip-hop,7537371
Song_19,Artist_19,37,0.8967654246264252,0.8779743204450695,-36.2921455433098,0.04961437333883745,0.8792795561570067,0.28613504245831434,0.807702369044057,0.5613558241893379,79.03058463142489,164405,1,pop,9597013
Song_20,Artist_20,1,0.08023374566164221,0.8680566901074503,-17.20758700304294,0.724598286847629,0.7253716002348575,0.6404472739932529,0.24634824724230187,0.8828364906780791,129.67093763073055,113744,0,rock,2787278
Song_21,Artist_21,63,0.5245113895702547,0.8059254001176211,-48.04708350635681,0.11159299995724747,0.11259046652919447,0.3141620638369721,0.06325340889867959,0.5278121082956208,89.98467538354215,213805,1,rock,1868427
Song_22,Artist_22,59,0.4103968269896615,0.7900304363070614,-6.5870998418295414,0.6083195000077717,0.40777803440616267,0.957971066482454,0.1317095352063551,0.5176298283979672,68.41024356969754,62473,0,pop,9847646
Song_23,Artist_23,20,0.9823786169086064,0.3046791390980408,-42.755424212065215,0.28104975016688916,0.8863803619601417,0.03342357243550376,0.8587449685295802,0.5778770814409091,105.57046733765895,199180,1,rock,9463180
Song_24,Artist_24,32,0.11203890216805235,0.08091928305125218,-37.93284073463083,0.17349605035502202,0.047196701697378995,0.579792843832955,0.6337832847472876,0.7493153551424344,80.11626752578978,88715,0,pop,3805153
Song_25,Artist_25,75,0.39785559904574164,0.40298017876516146,-56.51448287517901,0.37975152291931746,0.9614166196420495,0.1665035470495151,0.25320116336997667,0.9646904788284609,159.39063028079448,299419,0,jazz,9710795
Song_26,Artist_26,57,0.9694704332753689,0.17352451498650867,-53.309267260723416,0.8014457762229537,0.6791625683195628,0.7122202051771587,0.5552958253281813,0.07356335421576565,134.72155791400223,223282,1,jazz,7260606
Song_27,Artist_27,21,0.8655071258939803,0.6949510889024617,-29.048285837260313,0.3920935769045727,0.6313759776433766,0.17589028341866209,0.5275796224253504,0.05343460239101716,80.13682593864353,97317,0,rock,9679636
